system   D            wsystem.c:583  maybe_parent_dir                 [   0.00123] Also searching C:\Users\Connor\Documents\BaseGame-4\
display  D   display_settings.c:191  debug_display_settings           [   0.35771] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35773] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35774] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35775] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35777] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35778] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35779] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35781] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35782] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35784] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35785] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35786] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35788] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35789] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35791] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35792] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35795] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35796] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35798] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35799] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.35801] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.35802] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35803] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35805] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35807] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35809] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35810] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35812] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35813] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35815] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35816] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35817] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35819] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35820] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35821] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35823] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35824] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35826] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35827] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35829] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35830] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35835] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35837] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35838] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35840] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35841] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35842] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35844] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35845] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35847] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.35848] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.35850] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.35852] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.35932] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.35937] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.47171] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.76186] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.76191] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.76197] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.76203] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.76207] Returning d3d_display: 00131AF0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.76210] al_display=00131AF0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.76213] al_display->vt=000DD418
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.78124] Font uchiyama.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.78128]     ascent=12.0, descent=-3.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.78133] added dtor for object 077C5C40, func 013A1B3B
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78180] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78184] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78185] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78188] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78189] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78191] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78193] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78195] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.78196] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.78198] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.78207] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.78210] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.78212] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.78419] added dtor for object 077C7408, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.78951] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.78957] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89316] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89320] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89322] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89324] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89325] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89327] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89329] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89331] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.89333] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.89335] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.89336] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.89339] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.89340] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.89366] added dtor for object 077CC350, func 013A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.89601] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.89610] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90030] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90033] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90035] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90037] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90038] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90040] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90041] Fake format
